field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1624346324,277.603766,181.3745879,-51.83436355,1,-1.953125,0.9765625,-0.885009766,-0.419921875,-0.743896484,0.5078125
1624346327,277.9610424,182.0914835,-53.21661325,1,-2.105712891,1.159667969,-0.885009766,-0.416992188,-0.744384766,0.494140625
1624346329,279.390148,182.0914835,-51.48880113,1,-1.922607422,1.129150391,-0.701904297,-0.418457031,-0.743164063,0.504150391
1624346332,277.4251278,181.195364,-52.00714476,1,-1.800537109,1.037597656,-0.457763672,-0.414794922,-0.743896484,0.507080078
1624346335,276.5319368,180.6576923,-50.79767628,1,-1.831054688,0.671386719,-1.068115234,-0.415771484,-0.745117188,0.501953125
1624346338,278.1396806,182.987603,-52.69826961,1,-2.105712891,0.762939453,-0.671386719,-0.416992188,-0.74609375,0.507568359
1624346340,278.6755952,181.3745879,-52.17992598,1,-2.166748047,0.823974609,-0.823974609,-0.415527344,-0.742675781,0.502929688
1624346343,278.8542334,181.9122596,-51.66158234,1,-2.349853516,0.762939453,-0.579833984,-0.417480469,-0.739257813,0.498535156
1624346346,277.7824042,181.195364,-51.31601992,1,-2.075195313,1.373291016,-0.518798828,-0.419433594,-0.74609375,0.5078125
1624346348,278.3183188,181.3745879,-50.79767628,1,-1.739501953,1.251220703,-0.854492188,-0.419677734,-0.745849609,0.498779297
1624346351,277.9610424,180.6576923,-52.17992598,1,-1.983642578,1.159667969,-0.640869141,-0.419189453,-0.743164063,0.494140625
1624346354,278.496957,180.8369162,-50.97045749,1,-1.708984375,1.129150391,-0.793457031,-0.419189453,-0.745361328,0.506347656
1624346356,279.5687862,181.195364,-51.31601992,1,-2.105712891,0.854492188,-0.518798828,-0.420898438,-0.745849609,0.501953125
1624346359,278.8542334,180.4784684,-51.31601992,1,-1.922607422,1.007080078,-0.701904297,-0.418945313,-0.746826172,0.5078125
1624346362,278.496957,182.2707074,-51.66158234,1,-1.892089844,0.640869141,-0.793457031,-0.415039063,-0.744140625,0.5
1624346364,279.390148,180.2992445,-51.83436355,1,-2.197265625,1.007080078,-0.793457031,-0.413818359,-0.744873047,0.498046875
1624346367,277.9610424,182.4499313,-52.5254884,1,-1.861572266,0.823974609,-0.671386719,-0.416748047,-0.742919922,0.506103516
1624346370,277.0678514,182.2707074,-52.00714476,1,-1.922607422,1.098632813,-0.823974609,-0.415771484,-0.743164063,0.504150391
1624346373,278.8542334,180.4784684,-52.35270719,1,-2.136230469,0.762939453,-0.640869141,-0.414550781,-0.749267578,0.501708984
1624346375,278.1396806,182.2707074,-51.31601992,1,-1.922607422,1.068115234,-0.732421875,-0.418701172,-0.742431641,0.5
1624346378,279.390148,183.1668269,-52.17992598,1,-2.105712891,1.098632813,-0.701904297,-0.419921875,-0.745361328,0.502685547
1624346381,278.1396806,183.7044986,-52.00714476,1,-1.892089844,0.9765625,-0.671386719,-0.412841797,-0.743164063,0.503662109
1624346383,278.1396806,182.6291552,-51.31601992,1,-2.014160156,1.159667969,-0.701904297,-0.420410156,-0.747558594,0.505859375
1624346386,278.8542334,181.5538118,-51.66158234,1,-1.922607422,0.885009766,-0.762939453,-0.420898438,-0.746826172,0.501953125
1624346389,277.603766,182.0914835,-52.87105082,1,-2.227783203,1.007080078,-0.518798828,-0.415283203,-0.744873047,0.506591797
1624346391,278.3183188,180.6576923,-52.87105082,1,-2.197265625,0.396728516,-0.518798828,-0.413818359,-0.74609375,0.501220703
1624346394,278.8542334,182.2707074,-52.69826961,1,-1.983642578,0.915527344,-0.885009766,-0.420410156,-0.742675781,0.501953125
1624346397,278.8542334,182.2707074,-52.35270719,1,-1.983642578,0.701904297,-0.610351563,-0.414550781,-0.746826172,0.503173828
1624346399,279.0328716,182.8083791,-51.48880113,1,-2.105712891,0.9765625,-0.9765625,-0.415771484,-0.745605469,0.497558594
1624346402,277.9610424,181.0161401,-51.83436355,1,-2.166748047,0.885009766,-0.732421875,-0.414550781,-0.747314453,0.499023438
1624346405,279.0328716,181.3745879,-52.17992598,1,-2.075195313,0.701904297,-0.610351563,-0.416992188,-0.745361328,0.505126953
1624346407,279.0328716,181.0161401,-53.21661325,1,-1.953125,0.762939453,-0.762939453,-0.415527344,-0.744873047,0.500976563
1624346410,277.4251278,181.195364,-53.04383204,1,-2.075195313,0.915527344,-0.732421875,-0.413818359,-0.743896484,0.505126953
1624346413,278.496957,180.4784684,-52.69826961,1,-2.044677734,0.9765625,-0.610351563,-0.412109375,-0.743652344,0.498046875
1624346416,277.2464896,181.7330357,-51.83436355,1,-1.922607422,0.671386719,-0.762939453,-0.417724609,-0.746826172,0.503173828
1624346418,279.390148,181.0161401,-52.17992598,1,-2.044677734,0.579833984,-0.427246094,-0.41796875,-0.743408203,0.506347656
1624346421,278.3183188,181.7330357,-52.17992598,1,-1.892089844,1.007080078,-0.823974609,-0.416503906,-0.748535156,0.499267578
1624346424,278.496957,182.2707074,-52.00714476,1,-2.288818359,0.915527344,-0.366210938,-0.417236328,-0.744384766,0.507568359
1624346426,278.496957,181.9122596,-52.69826961,1,-1.831054688,0.793457031,-1.190185547,-0.419433594,-0.744384766,0.502441406
1624346429,277.2464896,181.7330357,-51.14323871,1,-1.861572266,0.9765625,-0.762939453,-0.417236328,-0.745361328,0.502197266
1624346432,277.603766,181.0161401,-53.21661325,1,-1.647949219,1.129150391,-0.854492188,-0.4140625,-0.745361328,0.501953125
1624346434,278.6755952,181.3745879,-52.87105082,1,-1.983642578,0.671386719,-0.457763672,-0.415527344,-0.740234375,0.500732422
1624346437,279.390148,182.0914835,-51.83436355,1,-2.136230469,0.701904297,-0.793457031,-0.410888672,-0.743896484,0.505615234
1624346440,277.7824042,180.8369162,-52.00714476,1,-2.044677734,0.671386719,-0.640869141,-0.415771484,-0.743896484,0.503173828
1624346442,279.5687862,180.4784684,-51.66158234,1,-1.831054688,1.007080078,-0.701904297,-0.412841797,-0.748779297,0.506591797
1624346445,278.6755952,181.7330357,-51.14323871,1,-1.922607422,0.915527344,-0.640869141,-0.415771484,-0.746826172,0.504150391
1624346448,277.9610424,181.7330357,-52.5254884,1,-2.044677734,0.9765625,-0.640869141,-0.419921875,-0.749023438,0.504394531
1624346450,279.9260627,181.5538118,-52.35270719,1,-1.800537109,0.915527344,-0.915527344,-0.415527344,-0.744873047,0.503173828
1624346453,277.2464896,180.6576923,-51.14323871,1,-1.983642578,0.915527344,-0.946044922,-0.415283203,-0.746337891,0.505859375
1624346456,279.0328716,181.3745879,-52.17992598,1,-2.075195313,0.946044922,-0.610351563,-0.418457031,-0.746582031,0.502929688
1624346459,278.1396806,181.9122596,-53.38939446,1,-1.647949219,0.671386719,-0.427246094,-0.416015625,-0.744873047,0.510253906
1624346461,279.390148,181.0161401,-52.5254884,1,-1.800537109,0.457763672,-0.762939453,-0.415283203,-0.744140625,0.5
1624346464,276.8892132,182.0914835,-52.17992598,1,-2.319335938,0.396728516,-0.793457031,-0.411132813,-0.743652344,0.498291016
